tx_x_pos, tx_y_pos, tx_z_pos, tx_freq, rx_x_pos, rx_y_pos, rx_z_pos, distance, path_loss_dB
0,5,0,2.3e+09,34,1.5,-59.0165,68.1997,-76.352
0,5,0,2.3e+09,1.23852,1.5,-71.8728,71.9687,-76.8192
0,5,0,2.3e+09,0.564999,1.5,-71.8728,71.9602,-76.8182
0,5,0,2.3e+09,-0.124165,1.5,-71.8728,71.9581,-76.8179
0,5,0,2.3e+09,-0.841652,1.5,-71.8728,71.9629,-76.8185
0,5,0,2.3e+09,-1.46413,1.5,-71.8728,71.9729,-76.8197
0,5,0,2.3e+09,-2.10546,1.5,-71.8728,71.9888,-76.8216
0,5,0,2.3e+09,-2.77607,1.5,-71.8728,72.0116,-76.8244
0,5,0,2.3e+09,-3.40755,1.5,-71.8728,72.0387,-76.8276
0,5,0,2.3e+09,-4.02999,1.5,-71.8728,72.0708,-76.8315
0,5,0,2.3e+09,-4.71925,1.5,-71.8728,72.1126,-76.8366
0,5,0,2.3e+09,-5.36789,1.5,-71.8728,72.158,-76.842
0,5,0,2.3e+09,-5.98852,1.5,-71.8728,72.2068,-76.8479
0,5,0,2.3e+09,-6.68691,1.5,-71.8728,72.2681,-76.8553
0,5,0,2.3e+09,-7.31638,1.5,-71.8728,72.329,-76.8626
0,5,0,2.3e+09,-7.97788,1.5,-71.8728,72.3989,-76.871
0,5,0,2.3e+09,-8.76873,1.5,-71.8728,72.4903,-76.8819
0,5,0,2.3e+09,-9.42617,1.5,-71.8728,72.5728,-76.8918
0,5,0,2.3e+09,-10.0869,1.5,-71.8728,72.6616,-76.9024
0,5,0,2.3e+09,-10.8231,1.5,-71.8728,72.7674,-76.9151
0,5,0,2.3e+09,-11.5299,1.5,-71.8728,72.8759,-76.928
0,5,0,2.3e+09,-12.2059,1.5,-71.8728,72.9859,-76.9411
0,5,0,2.3e+09,-13.0112,1.5,-71.8728,73.1249,-76.9576
0,5,0,2.3e+09,-13.6975,1.5,-71.8728,73.2501,-76.9725
0,5,0,2.3e+09,-14.3836,1.5,-71.8728,73.3815,-76.9881
0,5,0,2.3e+09,-15.2646,1.5,-71.8728,73.5592,-77.0091
0,5,0,2.3e+09,-15.959,1.5,-71.8728,73.7065,-77.0264
0,5,0,2.3e+09,-16.6837,1.5,-71.8728,73.8668,-77.0453
0,5,0,2.3e+09,-17.4056,1.5,-71.8728,74.0332,-77.0649
0,5,0,2.3e+09,-18.1686,1.5,-71.8728,74.2163,-77.0863
0,5,0,2.3e+09,-18.9955,1.5,-71.8728,74.423,-77.1105
0,5,0,2.3e+09,-19.7042,1.5,-71.8728,74.6071,-77.1319
0,5,0,2.3e+09,-20.4049,1.5,-71.8728,74.7952,-77.1538
0,5,0,2.3e+09,-21.186,1.5,-71.8728,75.012,-77.1789
0,5,0,2.3e+09,-21.9495,1.5,-71.8728,75.2312,-77.2043
0,5,0,2.3e+09,-19.571,1.5,-85.7362,88.0112,-78.5671
0,5,0,2.3e+09,-18.8486,1.5,-85.7362,87.8534,-78.5515
0,5,0,2.3e+09,-18.1463,1.5,-85.7362,87.7054,-78.5368
0,5,0,2.3e+09,-17.4862,1.5,-85.7362,87.5712,-78.5236
0,5,0,2.3e+09,-16.7156,1.5,-85.7362,87.4206,-78.5086
0,5,0,2.3e+09,-16.0466,1.5,-85.7362,87.2951,-78.4961
0,5,0,2.3e+09,-15.3158,1.5,-85.7362,87.1637,-78.483
0,5,0,2.3e+09,-14.5139,1.5,-85.7362,87.0264,-78.4694
0,5,-0.0186539,2.3e+09,-14.5139,1.5,-85.7362,87.008,-78.4675
0,5,-0.730896,2.3e+09,-14.5139,1.5,-85.7362,86.3064,-78.3972
0,5,-1.47095,2.3e+09,-14.5139,1.5,-85.7362,85.5776,-78.3235
0,5,-2.26345,2.3e+09,-14.5139,1.5,-85.7362,84.7974,-78.244
0,5,-2.96913,2.3e+09,-14.5139,1.5,-85.7362,84.1028,-78.1725
0,5,-3.7355,2.3e+09,-14.5139,1.5,-85.7362,83.3488,-78.0943
0,5,-4.45698,2.3e+09,-14.5139,1.5,-85.7362,82.639,-78.02
0,5,-5.17986,2.3e+09,-14.5139,1.5,-85.7362,81.9282,-77.945
0,5,-5.97736,2.3e+09,-14.5139,1.5,-85.7362,81.1441,-77.8615
